ETC Registers

Sl.no,Register Address,Value
1136,f46f,0000
1137,f470,0000
1138,f471,0000
1139,f472,0000
1140,f473,0000
1141,f474,0000
1142,f475,0000
1143,f476,0000
1144,f477,0000
1145,f478,0000
1146,f479,0000
1147,f47a,0000
1148,f47b,0000
1149,f47c,0000
1150,f47d,0000
1151,f47e,0000
1152,f47f,0000
1153,f480,01f0
1154,f481,0000
1155,f482,0000
1156,f483,0000
1157,f484,0000
1158,f485,0000
1159,f486,0000
1160,f487,0000
1161,f488,0000
1162,f489,0000
1163,f48a,0000
1164,f48b,0000
1165,f48c,0000
1166,f48d,0000
1167,f48e,0000
1168,f48f,0000
1169,f490,0000
1170,f491,0000
1171,f492,0000
1172,f493,0000
1173,f494,0000
1174,f495,0000
1175,f496,0000
1176,f497,0000
1177,f498,0000
1178,f499,0000
1179,f49a,0000
1180,f49b,0000
1181,f49c,0000
1182,f49d,0000
1183,f49e,0000
1184,f49f,0000
1185,f4a0,0000
1186,f4a1,0000
1187,f4a2,0000
1188,f4a3,0000
1189,f4a4,0000
1190,f4a5,0000
1191,f4a6,0000
1192,f4a7,0000
1193,f4a8,0000
1194,f4a9,0000
1195,f4aa,0000
1196,f4ab,0000
1197,f4ac,0000
1198,f4ad,0000
1199,f4ae,0000
1200,f4af,0000
1201,f4b0,0000
1202,f4b1,0000
1203,f4b2,0000
1204,f4b3,0000
1205,f4b4,0000
1206,f4b5,0000
1207,f4b6,0000
1208,f4b7,0000
1209,f4b8,0000
1210,f4b9,0000
1211,f4ba,0000
1212,f4bb,0000
1213,f4bc,0000
1214,f4bd,0000
1215,f4be,0000
1216,f4bf,0000
1217,f4c0,0000
1218,f4c1,0000
1219,f4c2,0000
1220,f4c3,0000
1221,f4c4,0000
1222,f4c5,0000
1223,f4c6,0000
1224,f4c7,0000
1225,f4c8,0000
1226,f4c9,0000
1227,f4ca,0000
1228,f4cb,0000
1229,f4cc,0000
1230,f4cd,0000
1231,f4ce,0000
1232,f4cf,0000
1233,f4d0,0000
1234,f4d1,0000
1235,f4d2,0000
1236,f4d3,0000
1237,f4d4,0000
1238,f4d5,0000
1239,f4d6,0000
1240,f4d7,0000
1241,f4d8,0000
1242,f4d9,0000
1243,f4da,0000
1244,f4db,0000
1245,f4dc,0000
1246,f4dd,0000
1247,f4de,0000
1248,f4df,0000
