ETC Registers

Sl.no,Register Address,Value
728,d2d7,0000
729,d2d8,0000
730,d2d9,0000
731,d2da,0000
732,d2db,0000
733,d2dc,0000
734,d2dd,0000
735,d2de,0000
736,d2df,0000
737,d2e0,0000
738,d2e1,0000
739,d2e2,0000
740,d2e3,0000
741,d2e4,0000
742,d2e5,0000
743,d2e6,0000
744,d2e7,0000
745,d2e8,0000
746,d2e9,0000
747,d2ea,0000
748,d2eb,0000
749,d2ec,0000
750,d2ed,0000
751,d2ee,0000
752,d2ef,0000
753,d2f0,0000
754,d2f1,0000
755,d2f2,0000
756,d2f3,0000
757,d2f4,0000
758,d2f5,0000
759,d2f6,0000
760,d2f7,0000
761,d2f8,0000
762,d2f9,0000
763,d2fa,0000
764,d2fb,0000
765,d2fc,0000
766,d2fd,0000
767,d2fe,0000
768,d2ff,0000
769,d300,0000
770,d301,0000
771,d302,0000
772,d303,0000
773,d304,00f0
774,d305,0032
775,d306,0000
776,d307,0000
777,d308,0000
778,d309,0000
779,d30a,0021
780,d30b,0010
781,d30c,001f
782,d30d,0003
783,d30e,0009
784,d30f,0000
785,d310,0000
786,d311,0000
787,d312,0000
788,d313,0000
789,d314,0000
790,d315,0000
791,d316,0000
792,d317,0000
793,d318,0000
794,d319,0000
795,d31a,0000
796,d31b,0000
797,d31c,0000
798,d31d,0000
799,d31e,0000
800,d31f,0000
801,d320,0000
802,d321,0000
803,d322,0000
804,d323,0000
805,d324,0000
806,d325,0000
807,d326,0000
808,d327,0000
809,d328,0000
810,d329,0000
811,d32a,0000
812,d32b,0000
813,d32c,0000
814,d32d,0000
815,d32e,0000
816,d32f,0000
817,d330,0000
818,d331,0000
819,d332,0000
820,d333,0000
821,d334,0000
822,d335,0000
823,d336,0000
824,d337,0000
825,d338,0000
826,d339,0000
827,d33a,0000
828,d33b,0000
829,d33c,0000
830,d33d,0000
831,d33e,0000
832,d33f,0000
833,d340,0000
834,d341,0000
835,d342,0000
836,d343,0000
837,d344,0000
838,d345,0000
839,d346,0000
840,d347,0000
841,d348,0000
842,d349,0000
843,d34a,0000
844,d34b,0000
845,d34c,0000
846,d34d,0000
847,d34e,0000
848,d34f,0000
849,d350,0000
850,d351,0000
851,d352,0000
852,d353,0000
853,d354,0000
854,d355,0000
855,d356,0000
856,d357,0000
857,d358,0000
858,d359,0000
859,d35a,0000
860,d35b,0000
861,d35c,0000
862,d35d,0000
863,d35e,0000
864,d35f,0000
865,d360,0000
866,d361,0000
867,d362,0000
868,d363,0000
869,d364,0000
870,d365,0000
871,d366,0000
872,d367,0000
873,d368,0000
874,d369,0000
875,d36a,0000
876,d36b,0000
877,d36c,0000
878,d36d,0000
879,d36e,0000
880,d36f,0000
881,d370,0000
882,d371,0000
883,d372,0000
884,d373,0000
885,d374,0000
886,d375,0000
887,d376,0000
888,d377,0000
889,d378,0000
890,d379,0000
891,d37a,0000
892,d37b,0000
893,d37c,0000
894,d37d,0000
895,d37e,0000
896,d37f,0000
897,d380,0000
898,d381,0000
899,d382,0000
900,d383,0000
901,d384,0000
902,d385,0000
903,d386,0000
904,d387,0000
905,d388,0000
906,d389,0000
907,d38a,0000
908,d38b,0000
909,d38c,0000
910,d38d,0000
911,d38e,0000
912,d38f,0000
913,d390,0000
914,d391,0000
915,d392,0000
916,d393,0000
917,d394,0000
918,d395,0000
919,d396,0000
920,d397,0000
921,d398,0000
922,d399,0000
923,d39a,0000
924,d39b,0000
925,d39c,0000
926,d39d,0000
927,d39e,0000
928,d39f,0000
929,d3a0,0000
930,d3a1,0000
931,d3a2,0000
932,d3a3,0000
933,d3a4,0000
934,d3a5,0000
935,d3a6,0000
936,d3a7,0000
937,d3a8,0000
938,d3a9,0000
939,d3aa,0000
940,d3ab,0000
941,d3ac,0000
942,d3ad,0000
943,d3ae,0000
944,d3af,0000
945,d3b0,0000
946,d3b1,0000
947,d3b2,0000
948,d3b3,0000
949,d3b4,0000
950,d3b5,0000
951,d3b6,0000
952,d3b7,0000
953,d3b8,0000
954,d3b9,0000
955,d3ba,0000
956,d3bb,0000
957,d3bc,0000
958,d3bd,0000
959,d3be,0000
960,d3bf,0000
961,d3c0,0000
962,d3c1,0000
963,d3c2,0000
964,d3c3,0000
965,d3c4,0000
966,d3c5,0000
967,d3c6,0000
968,d3c7,0000
969,d3c8,0000
970,d3c9,0000
971,d3ca,0000
972,d3cb,0000
973,d3cc,0000
974,d3cd,0000
975,d3ce,0000
976,d3cf,0000
977,d3d0,0000
978,d3d1,0000
979,d3d2,0000
980,d3d3,0000
981,d3d4,0000
982,d3d5,0000
983,d3d6,0000
984,d3d7,0000
985,d3d8,0000
986,d3d9,0000
987,d3da,0000
988,d3db,0000
989,d3dc,0000
990,d3dd,0000
991,d3de,0000
992,d3df,0000
993,d3e0,0000
994,d3e1,0000
995,d3e2,0000
996,d3e3,0000
997,d3e4,0000
998,d3e5,0000
999,d3e6,0000
1000,d3e7,0000
1001,d3e8,0000
1002,d3e9,0000
